ticker,is_loss_making,eps_growth_3y_pct,target_pe_bear,target_pe_base,target_pe_bull,manual_forward_eps,max_position_pct,sector_group
452260,0.0,10.0,8.0,12.0,16.0,,3.0,백화점과일반상점
027410,0.0,10.0,8.0,12.0,16.0,,3.0,화학
017810,0.0,10.0,8.0,12.0,16.0,,3.0,식품
008060,0.0,10.0,8.0,12.0,16.0,,3.0,전자장비와기기
192650,0.0,10.0,8.0,12.0,16.0,,3.0,핸드셋
105630,0.0,10.0,8.0,12.0,16.0,,3.0,"섬유,의류,신발,호화품"
344820,0.0,10.0,8.0,12.0,16.0,,3.0,건축자재
004700,0.0,10.0,8.0,12.0,16.0,,3.0,"섬유,의류,신발,호화품"
357120,0.0,10.0,8.0,12.0,16.0,,3.0,湲고?
001530,0.0,10.0,8.0,12.0,16.0,,3.0,"섬유,의류,신발,호화품"
170900,0.0,10.0,8.0,12.0,16.0,,3.0,제약
072710,0.0,10.0,8.0,12.0,16.0,,3.0,식품
002710,0.0,10.0,8.0,12.0,16.0,,3.0,철강
016800,0.0,10.0,8.0,12.0,16.0,,3.0,가구
089590,0.0,10.0,8.0,12.0,16.0,,3.0,항공사
025860,0.0,10.0,8.0,12.0,16.0,,3.0,화학
015360,0.0,10.0,8.0,12.0,16.0,,3.0,가스유틸리티
005610,0.0,10.0,8.0,12.0,16.0,,3.0,식품
183190,0.0,10.0,8.0,12.0,16.0,,3.0,건축자재
126720,0.0,10.0,8.0,12.0,16.0,,3.0,에너지장비및서비스
009290,0.0,10.0,8.0,12.0,16.0,,3.0,제약
000157,0.0,10.0,8.0,12.0,16.0,,3.0,복합기업
091810,0.0,10.0,8.0,12.0,16.0,,3.0,항공사
306200,0.0,10.0,8.0,12.0,16.0,,3.0,철강
092790,0.0,10.0,8.0,12.0,16.0,,3.0,철강
417310,0.0,10.0,8.0,12.0,16.0,,3.0,湲고?
097520,0.0,10.0,8.0,12.0,16.0,,3.0,핸드셋
026890,0.0,10.0,8.0,12.0,16.0,,3.0,창업투자
015860,0.0,10.0,8.0,12.0,16.0,,3.0,전기장비
010690,0.0,10.0,8.0,12.0,16.0,,3.0,자동차부품
018250,0.0,10.0,8.0,12.0,16.0,,3.0,화장품
001390,0.0,10.0,8.0,12.0,16.0,,3.0,자동차
007690,0.0,10.0,8.0,12.0,16.0,,3.0,화학
084010,0.0,10.0,8.0,12.0,16.0,,3.0,철강
034830,0.0,10.0,8.0,12.0,16.0,,3.0,부동산
001940,0.0,10.0,8.0,12.0,16.0,,3.0,철강
194370,0.0,10.0,8.0,12.0,16.0,,3.0,"섬유,의류,신발,호화품"
060980,0.0,10.0,8.0,12.0,16.0,,3.0,자동차부품
086520,0.0,10.0,8.0,12.0,16.0,,3.0,화학
247540,0.0,10.0,8.0,12.0,16.0,,3.0,전기제품
196170,0.0,10.0,8.0,12.0,16.0,,3.0,생물공학
277810,0.0,10.0,8.0,12.0,16.0,,3.0,기계
000250,0.0,10.0,8.0,12.0,16.0,,3.0,제약
950160,0.0,10.0,8.0,12.0,16.0,,3.0,생물공학
298380,0.0,10.0,8.0,12.0,16.0,,3.0,생물공학
058470,0.0,10.0,8.0,12.0,16.0,,3.0,반도체와반도체장비
028300,0.0,10.0,8.0,12.0,16.0,,3.0,건강관리장비와용품
141080,0.0,10.0,8.0,12.0,16.0,,3.0,제약
087010,0.0,10.0,8.0,12.0,16.0,,3.0,생물공학
240810,0.0,10.0,8.0,12.0,16.0,,3.0,반도체와반도체장비
039030,0.0,10.0,8.0,12.0,16.0,,3.0,반도체와반도체장비
310210,0.0,10.0,8.0,12.0,16.0,,3.0,제약
214370,0.0,10.0,8.0,12.0,16.0,,3.0,건강관리업체및서비스
