trade_date,index_code,close,volume,advance_count,decline_count,data_source
20250618,KOSDAQ,779.72998046875,1000,366.0,355.0,yfinance
20250619,KOSDAQ,782.510009765625,1103700,361.0,362.0,yfinance
20250620,KOSDAQ,791.530029296875,1100,431.0,293.0,yfinance
20250623,KOSDAQ,784.7899780273438,1000,232.0,504.0,yfinance
20250624,KOSDAQ,800.9299926757812,1100,611.0,124.0,yfinance
20250625,KOSDAQ,798.2100219726562,1200,358.0,370.0,yfinance
20250626,KOSDAQ,787.9500122070312,900,171.0,554.0,yfinance
20250627,KOSDAQ,781.5599975585938,900,194.0,529.0,yfinance
20250630,KOSDAQ,781.5,800,367.0,360.0,yfinance
20250701,KOSDAQ,783.6699829101562,1000,461.0,261.0,yfinance
20250702,KOSDAQ,782.1699829101562,900,292.0,432.0,yfinance
20250703,KOSDAQ,793.3300170898438,1100,492.0,233.0,yfinance
20250704,KOSDAQ,775.7999877929688,1100,109.0,627.0,yfinance
20250707,KOSDAQ,778.4600219726562,1400,345.0,378.0,yfinance
20250708,KOSDAQ,784.239990234375,1200,492.0,236.0,yfinance
20250709,KOSDAQ,790.3599853515625,900,475.0,253.0,yfinance
20250710,KOSDAQ,797.7000122070312,905100,451.0,263.0,yfinance
20250711,KOSDAQ,800.469970703125,1000,369.0,343.0,yfinance
20250714,KOSDAQ,799.3699951171875,900,350.0,377.0,yfinance
20250715,KOSDAQ,812.8800048828125,800,420.0,299.0,yfinance
20250716,KOSDAQ,812.22998046875,900,212.0,512.0,yfinance
20250717,KOSDAQ,818.27001953125,1000,393.0,325.0,yfinance
20250718,KOSDAQ,820.6699829101562,800,281.0,438.0,yfinance
20250721,KOSDAQ,821.6900024414062,900,350.0,370.0,yfinance
20250722,KOSDAQ,812.969970703125,1000,193.0,541.0,yfinance
20250723,KOSDAQ,813.5599975585938,900,290.0,435.0,yfinance
20250724,KOSDAQ,809.8900146484375,900,210.0,512.0,yfinance
20250725,KOSDAQ,806.9500122070312,700,293.0,419.0,yfinance
20250728,KOSDAQ,804.4000244140625,700,263.0,467.0,yfinance
20250729,KOSDAQ,804.4500122070312,600,380.0,348.0,yfinance
20250730,KOSDAQ,803.6699829101562,800,374.0,342.0,yfinance
20250731,KOSDAQ,805.239990234375,800,325.0,397.0,yfinance
20250801,KOSDAQ,772.7899780273438,800,24.0,724.0,yfinance
20250804,KOSDAQ,784.0599975585938,700,558.0,166.0,yfinance
20250805,KOSDAQ,798.5999755859375,700,578.0,151.0,yfinance
20250806,KOSDAQ,803.489990234375,700,503.0,212.0,yfinance
20250807,KOSDAQ,805.8099975585938,800,407.0,319.0,yfinance
20250808,KOSDAQ,809.27001953125,800,322.0,394.0,yfinance
20250811,KOSDAQ,811.8499755859375,900,297.0,428.0,yfinance
20250812,KOSDAQ,807.1900024414062,1100,227.0,492.0,yfinance
20250813,KOSDAQ,814.0999755859375,1000,413.0,310.0,yfinance
20250814,KOSDAQ,815.260009765625,900,340.0,379.0,yfinance
20250818,KOSDAQ,798.0499877929688,800,159.0,574.0,yfinance
20250819,KOSDAQ,787.9600219726562,900,172.0,552.0,yfinance
20250820,KOSDAQ,777.6099853515625,900,184.0,546.0,yfinance
20250821,KOSDAQ,777.239990234375,900,360.0,360.0,yfinance
20250822,KOSDAQ,782.510009765625,800,409.0,312.0,yfinance
20250825,KOSDAQ,798.02001953125,800,584.0,146.0,yfinance
20250826,KOSDAQ,801.6599731445312,800,336.0,381.0,yfinance
20250827,KOSDAQ,801.719970703125,700,349.0,368.0,yfinance
20250828,KOSDAQ,798.4299926757812,800,377.0,353.0,yfinance
20250829,KOSDAQ,796.9099731445312,900,249.0,479.0,yfinance
20250901,KOSDAQ,785.0,1100,170.0,573.0,yfinance
20250902,KOSDAQ,794.0,1000,407.0,314.0,yfinance
